"VH_2017-05-15","VH_2017-05-27","VH_2017-06-08","VH_2017-07-02","VH_2017-07-14","VH_2017-07-26","VH_2017-08-07","VH_2017-08-19","VH_2017-08-31","VH_2017-09-12","VH_2017-09-24","VH_2017-10-06","VH_2017-10-18"
0.017254828,0.006751267,0.023445543,0.020246249,0.013932822,0.021769846,0.061857473,0.039315227,0.062580585,0.0723617,0.076760724,0.038476679,0.010210312
0.008205803,0.017252581,0.018548721,0.060218245,0.054488111,0.052614078,0.079239167,0.044252299,0.05157524,0.051601697,0.054755386,0.040355235,0.033334885
0.008264112,0.03187082,0.04261709,0.057700217,0.041284725,0.051880755,0.053643551,0.04658461,0.041468274,0.053935543,0.058019482,0.064073823,0.042540267
0.021847546,0.032792628,0.039422248,0.041215621,0.034387443,0.044793691,0.052830435,0.046823528,0.052878916,0.058581516,0.057620212,0.03370304,0.036610909
0.025082272,0.042192526,0.058095433,0.055813488,0.057531312,0.046074513,0.03987252,0.029554885,0.050328903,0.055397201,0.044946622,0.039413966,0.062009033
0.028453581,0.036740296,0.043032993,0.054007217,0.048131235,0.049789123,0.06115016,0.026428349,0.039331105,0.052470334,0.050126106,0.037041578,0.05447194
0.018724382,0.029500009,0.040967669,0.038442075,0.039089307,0.050502967,0.053256497,0.061082557,0.047795787,0.059562702,0.104567476,0.055733442,0.039075036
0.04400875,0.043042403,0.034011375,0.045318775,0.034552626,0.034594819,0.043048643,0.043914136,0.049550332,0.053187314,0.074171007,0.040465757,0.049493384
0.02365691,0.04979739,0.039385956,0.033939049,0.030440424,0.054507349,0.041651901,0.051437709,0.062852062,0.048655521,0.046016991,0.033966389,0.037117701
0.017664675,0.034837283,0.039801586,0.041640259,0.046983637,0.053417053,0.05426364,0.043581806,0.039706554,0.047667526,0.067840777,0.057325199,0.048432343
0.037624471,0.035183087,0.052067261,0.037423991,0.038152043,0.046720438,0.040549599,0.035042681,0.038050912,0.042064995,0.072795525,0.037083995,0.048027433
0.016128531,0.011049021,0.028933344,0.032213617,0.035554402,0.074678659,0.084928714,0.041911475,0.077350229,0.058252361,0.05402888,0.048400901,0.037151407
0.050139837,0.047850065,0.036844254,0.031722341,0.033366356,0.036890529,0.038001135,0.031062452,0.040257718,0.044446357,0.077789493,0.040498085,0.051994715
0.007179036,0.009682933,0.017425703,0.047060959,0.054039042,0.067804709,0.057024881,0.050949004,0.046718758,0.048120797,0.058255453,0.042305239,0.037347749
0.016497042,0.05209012,0.044954196,0.037872497,0.045765426,0.037847228,0.057675388,0.044047326,0.051269382,0.0484749,0.075055443,0.027705254,0.03769796
0.008126544,0.010357763,0.022147549,0.057161443,0.070712999,0.046858881,0.054990459,0.039451476,0.056645013,0.048894271,0.060919952,0.041222569,0.042870425
0.038958635,0.02603771,0.061399147,0.028565852,0.034131061,0.045342803,0.049027398,0.029870132,0.060466651,0.055509053,0.078260019,0.040459104,0.052206449
0.008944072,0.022464208,0.022276737,0.062162247,0.053566452,0.064042456,0.071730815,0.052757747,0.048592716,0.057242312,0.069903322,0.036885828,0.043886669
0.031388912,0.037721548,0.046909794,0.039588932,0.042161617,0.036038689,0.024978908,0.041671235,0.052181218,0.054530054,0.050157283,0.048878867,0.047682956
0.011110281,0.028014708,0.022018073,0.048947144,0.031819604,0.042227,0.050932743,0.042507604,0.055564526,0.059024382,0.049844995,0.045494359,0.035265267
0.025864342,0.01803782,0.032607973,0.042164851,0.027971199,0.055913433,0.05986359,0.033366226,0.049376473,0.052764837,0.067439258,0.041334271,0.044036992
0.035430267,0.033785008,0.03831882,0.041948583,0.049624167,0.043139525,0.05389069,0.035218716,0.050498366,0.047235843,0.055371579,0.044946782,0.056768883
0.030366831,0.031284753,0.044486288,0.049398422,0.040207565,0.057142712,0.053595167,0.033842154,0.044279106,0.062069394,0.062823258,0.04227392,0.0537627
0.01104783,0.024528718,0.034764901,0.038012311,0.039187286,0.030336974,0.044510137,0.032833219,0.046143159,0.045647509,0.039681233,0.026759822,0.038998052
0.022694845,0.0330557,0.032959405,0.047040794,0.038218834,0.044775169,0.065592259,0.041045312,0.036874041,0.05091339,0.055217113,0.040110376,0.035812505
0.026732692,0.031881742,0.043986954,0.059630882,0.036473528,0.057434116,0.047868922,0.045621555,0.061388589,0.051846422,0.05110522,0.043478377,0.046292748
0.039669115,0.023667203,0.043969817,0.050910242,0.038864523,0.056557249,0.03972232,0.032500785,0.053455148,0.056625664,0.051012322,0.040982917,0.033031423
0.013852347,0.054034419,0.053919848,0.04853113,0.062656738,0.045944616,0.059025571,0.052689243,0.041027214,0.052573223,0.06178971,0.041974682,0.03300238
0.03212269,0.033242028,0.033700425,0.030209202,0.033978373,0.043500289,0.046960052,0.040892828,0.060596514,0.055914059,0.072119422,0.051204279,0.048420701
